# Wordlist

# DATA
ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	STRUCTURE	ALIGNMENT	CROSSIDS	MORPHEMES	NOTE
3139	Khoina	Rahung, people of	rə-pʰiŋ-ʥi	rə+pʰiŋ+ʥi	r ə + pʰ i ŋ + dʑ i	i n + i n c + i n	r ə + pʰ i ŋ + dʑ i	41 40 18	RAHUNG1 RAHUNG2 _ji-suffix1	
3140	Jerigaon	Rahung, people of	rə-pʰiŋ-ʥi	rə+pʰiŋ+ʥi	r ə + pʰ i ŋ + dʑ i	i n + i n c + i n	r ə + pʰ i ŋ + dʑ i	41 40 18	RAHUNG1 RAHUNG2 _ji-suffix1	
3143	Rupa	Rahung, people of	rə-pʰyŋ-ʥi	rə+pʰyŋ+ʥi	r ə + pʰ y ŋ + dʑ i	i n + i n c + i n	r ə + pʰ y ŋ + dʑ i	41 40 18	RAHUNG1 RAHUNG2 _ji-suffix1	
3144	Shergaon	Rahung, people of	ru-pʰuŋ-ʥi	ru+pʰuŋ+ʥi	r u + pʰ u ŋ + dʑ i	i n + i n c + i n	r u + pʰ u ŋ + dʑ i	41 40 18	RAHUNG1 RAHUNG2 _ji-suffix1	
#
3491	Khoina	Sherdukpen	tʰɔː-mø-ʥi	tʰɔː+mø+ʥi	tʰ ɔː + m ø + dʑ i	i n + i n + i n	tʰ ɔː - + m ø + dʑ i	44 43 18	SHERDUKPEN1 SHERDUKPEN2 _ji-suffix1	
3492	Jerigaon	Sherdukpen	tʰɔ̃ŋ-ʥi  ~ tʰuwã-ʥi	tʰɔ̃ŋ+ʥi	tʰ ɔ̃ ŋ + dʑ i	i n c + i n	tʰ ɔ̃ ŋ + dʑ i	44 18	SHERDUKPEN1 _ji-suffix1	
3494	Rahung	Sherdukpen	tʰə-mø-ʥi	tʰə+mø+ʥi	tʰ ə + m ø + dʑ i	i n + i n + i n	tʰ ə - + m ø + dʑ i	44 43 18	SHERDUKPEN1 SHERDUKPEN2 _ji-suffix1	
3495	Rupa	Sherdukpen	møˀ	møˀ	m øˀ	i n	m øˀ	43	SHERDUKPEN2	
3496	Shergaon	Sherdukpen	meˀ	meˀ	m eˀ	i n	m eˀ	43	SHERDUKPEN2	
#
3497	Khispi	Shergaon, people of	ɕɛl-pi	ɕɛl+pi	ɕ ɛ l + p i	i n c + i n	ɕ ɛ l + p i	47 48	SHERGAON _ji-suffix1	
3499	Khoina	Shergaon, people of	ʂɛ̃ː(n)-ʥi	ʂɛ̃ː+ʥi	ʂ ɛ̃ː (n)/n + dʑ i	i n c + i n	ʂ ɛ̃ː (n)/n + dʑ i	47 48	SHERGAON _ji-suffix1	
3500	Jerigaon	Shergaon, people of	sɛ̃ː(n)-ʥi	sɛ̃ː+ʥi	s ɛ̃ː (n)/n + dʑ i	i n c + i n	s ɛ̃ː (n)/n + dʑ i	47 48	SHERGAON _ji-suffix1	
3502	Rahung	Shergaon, people of	sɛ̃ː(n)-ʥi	sɛ̃ː+ʥi	s ɛ̃ː (n)/n + dʑ i	i n c + i n	s ɛ̃ː (n)/n + dʑ i	47 48	SHERGAON _ji-suffix1	
3503	Rupa	Shergaon, people of	sɛ̃ː(n)-ʥi	sɛ̃ː+ʥi	s ɛ̃ː (n)/n + dʑ i	i n c + i n	s ɛ̃ː (n)/n + dʑ i	47 48	SHERGAON _ji-suffix1	
#
4145	Khispi	Thembang people	tʰje-maŋ-bi	tʰje+maŋ+bi	tʰj e + m a ŋ + b i	i n + i n c + i n	tʰj e - + m a ŋ + b i	50 51 18	THEMBANG1 THEMBANG2 _ji-suffix1	
4146	Duhumbi	Thembang people	tʰɛm-baŋ-pa	tʰɛm+baŋ+pa	tʰ ɛ m + b a ŋ + p a	i n c + i n c + i n	tʰ ɛ m + b a ŋ + p a	50 51 18	THEMBANG1 THEMBANG2 _pa-suffix2	
4147	Khoina	Thembang people	tʰɛm-baŋ-ʥi	tʰɛm+baŋ+ʥi	tʰ ɛ m + b a ŋ + dʑ i	i n c + i n c + i n	tʰ ɛ m + b a ŋ + dʑ i	50 51 18	THEMBANG1 THEMBANG2 _ji-suffix1	
4148	Jerigaon	Thembang people	tʰəbang-ʥi	tʰə+baŋ+ʥi	tʰ ə + b a ŋ + dʑ i	i n + i n c + i n	tʰ ə - + b a ŋ + dʑ i	50 51 53	THEMBANG1 THEMBANG2 _ji-suffix1	
4150	Rahung	Thembang people	tʰam-baŋ-ʥi	tʰam+baŋ+ʥi	tʰ a m + b a ŋ + dʑ i	i n c + i n c + i n	tʰ a m + b a ŋ + dʑ i	50 51 18	THEMBANG1 THEMBANG2 _ji-suffix1	
#
41	Khispi	ablative	-lɔ	+lɔ	l ɔ	i n	l ɔ	55	_ablative	
42	Duhumbi	ablative	-lɔˀ	+lɔˀ	l ɔˀ	i n	l ɔˀ	55	_ablative	
43	Khoina	ablative	-lɔ	+lɔ	l ɔ	i n	l ɔ	55	_ablative	
44	Jerigaon	ablative	-lɔ	+lɔ	l ɔ	i n	l ɔ	55	_ablative	
45	Khoitam	ablative	-lɔ	+lɔ	l ɔ	i n	l ɔ	55	_ablative	
46	Rahung	ablative	-rɔ	+rɔ	r ɔ	i n	r ɔ	55	_ablative	
47	Rupa	ablative	-lɔ	+lɔ	l ɔ	i n	l ɔ	55	_ablative	
48	Shergaon	ablative	-lɔ	+lɔ	l ɔ	i n	l ɔ	55	_ablative	
#
49	Khispi	above, top	ʨʰaŋ	ʨʰaŋ	tɕʰ a ŋ	i n c	tɕʰ a ŋ	58	ON	
50	Duhumbi	above, top	ʨʰaŋ	ʨʰaŋ	tɕʰ a ŋ	i n c	tɕʰ a ŋ	58	ON	
51	Khoina	above, top	a-ʦʰɔ̃ː(ŋ)	a+ʦʰɔ̃ː	a + tsʰ ɔ̃ː	n + i n	- a + tsʰ ɔ̃ː -	56 58	_u/a-prefix ON	
52	Jerigaon	above, top	a-ʨʰɔ̃ː(ŋ)	a+ʨʰɔ̃ː	a + tɕʰ ɔ̃ː	n + i n	- a + tɕʰ ɔ̃ː -	56 58	_u/a-prefix ON	
53	Khoitam	above, top	a-ʨʰũː(ŋ)	a+ʨʰũː	a + tɕʰ ũː	n + i n	- a + tɕʰ ũː -	56 58	_u/a-prefix ON	
#
57	Khispi	achieve, obtain	man	man	m a n	i n c	m a n	59	ACHIEVE	
58	Duhumbi	achieve, obtain	man	man	m a n	i n c	m a n	59	ACHIEVE	
59	Khoina	achieve, obtain	mɐ̃ː	mɐ̃ː	m ɐ̃ː	i n	m ɐ̃ː -	59	ACHIEVE	
61	Khoitam	achieve, obtain	mɔ̃ː	mɔ̃ː	m ɔ̃ː	i n	m ɔ̃ː -	59	ACHIEVE	
62	Rahung	achieve, obtain	mɔ̃ː	mɔ̃ː	m ɔ̃ː	i n	m ɔ̃ː -	59	ACHIEVE	
63	Rupa	achieve, obtain	mɔ̃ː	mɔ̃ː	m ɔ̃ː	i n	m ɔ̃ː -	59	ACHIEVE	
#
65	Khispi	aconite	si	si	s i	i n	s i	60	ACONITE	
66	Duhumbi	aconite	si	si	s i	i n	s i	60	ACONITE	
67	Khoina	aconite	saː	saː	s aː	i n	s aː	60	ACONITE	
68	Jerigaon	aconite	sɛː	sɛː	s ɛː	i n	s ɛː	60	ACONITE	
69	Khoitam	aconite	sɛ	sɛ	s ɛ	i n	s ɛ	60	ACONITE	
70	Rahung	aconite	sɛˀ	sɛˀ	s ɛˀ	i n	s ɛˀ	60	ACONITE	
71	Rupa	aconite	saː	saː	s aː	i n	s aː	60	ACONITE	
72	Shergaon	aconite	saː	saː	s aː	i n	s aː	60	ACONITE	
#
73	Khispi	after	la-kʰuŋ	la+kʰuŋ	l a + kʰ u ŋ	i n + i n c	l a + kʰ u ŋ	62 61	_la-prefix1 UP	
74	Duhumbi	after	la-kʰuŋ	la+kʰuŋ	l a + kʰ u ŋ	i n + i n c	l a + kʰ u ŋ	62 61	_la-prefix1 UP	
75	Khoina	after	la-kʰyŋ	la+kʰyŋ	l a + kʰ y ŋ	i n + i n c	l a + kʰ y ŋ	62 61	_la-prefix1 UP	
78	Rahung	after	la-kʰyŋ	la+kʰyŋ	l a + kʰ y ŋ	i n + i n c	l a + kʰ y ŋ	62 61	_la-prefix1 UP	
79	Rupa	after	də-kʰyŋ	də+kʰyŋ	d ə + kʰ y ŋ	i n + i n c	d ə + kʰ y ŋ	62 61	_da-prefix1 UP	
#
83	Khoina	afternoon	na-jɔ-tøn	na+jɔ+tøn	n a + j ɔ + t ø n	i n + i n + i n c	n a + j ɔ + t ø n	64 48 66	_sky-prefix5 AFTERNOON _allative	jow related to WAKE UP?
84	Jerigaon	afternoon	ny-jɔ-tɛn	ny+jɔ+tɛn	n y + j ɔ + t ɛ n	i n + i n + i n c	n y + j ɔ + t ɛ n	64 487 66	_sky-prefix6 AFTERNOON _allative	jow related to WAKE UP?
85	Khoitam	afternoon	ny-jɔ	ny+jɔ	n y + j ɔ	i n + i n	n y + j ɔ	64 48	_sky-prefix5 AFTERNOON	jow related to WAKE UP?
86	Rahung	afternoon	ny-jɔ	ny+jɔ	n y + j ɔ	i n + i n	n y + j ɔ	64 48	_sky-prefix5 AFTERNOON	jow related to WAKE UP?
87	Rupa	afternoon	ɲaw	ɲaw	ɲ aw	i n	ɲ aw	518	AFTERNOON	contraction na-jow
88	Shergaon	afternoon	ɲaw	ɲaw	ɲ aw	i n	ɲ aw	518	AFTERNOON	contraction na-jow
#
89	Khispi	agent	-ɔ	+ɔ	ɔ	n	ɔ	67	_ergative	
90	Duhumbi	agent	-ɔˀ	+ɔˀ	ɔˀ	n	ɔˀ	67	_ergative	
93	Khoitam	agent	-ɔ	+ɔ	ɔ	n	ɔ	67	_ergative	
94	Rahung	agent	-ɔ	+ɔ	ɔ	n	ɔ	67	_ergative	
95	Rupa	agent	-ɔ̃	+ɔ̃	ɔ̃	n	ɔ̃	67	_ergative	
#
97	Khispi	alive, healthy	ɔ-haŋ	ɔ+haŋ	ɔ + h a ŋ	n + i n c	ɔ + h a ŋ	68 69	_u/o/a-prefix ALIVE	
98	Duhumbi	alive, healthy	u-kʰaŋ	u+kʰaŋ	u + kʰ a ŋ	n + i n c	u + kʰ a ŋ	68 69	_u/o/a-prefix ALIVE	
101	Khoitam	alive, healthy	a-haŋ	a+haŋ	a + h a ŋ	n + i n c	a + h a ŋ	68 69	_u/o/a-prefix ALIVE	
102	Rahung	alive, healthy	a-haŋ	a+haŋ	a + h a ŋ	n + i n c	a + h a ŋ	68 69	_u/o/a-prefix ALIVE	
103	Rupa	alive, healthy	a-haŋ-ba	a+haŋ+ba	a + h a ŋ + b a	n + i n c + i n	a + h a ŋ + b a	68 69 70	_u/o/a-prefix ALIVE _ba-suffix2	
104	Shergaon	alive, healthy	a-haŋ	a+haŋ	a + h a ŋ	n + i n c	a + h a ŋ	68 69	_u/o/a-prefix ALIVE	
#
107	Khoina	all	a-tʰɔn-ʥi	a+tʰɔn+ʥi	a + tʰ ɔ n + dʑ i	n + i n c + i n	- a + tʰ ɔ n + dʑ i	56 71 73	_u/a-prefix ALL _ji-suffix2	
109	Khoitam	all	a-tʰɔm	a+tʰɔm	a + tʰ ɔ m	n + i n c	- a + tʰ ɔ m	56 71	_u/a-prefix ALL	
110	Rahung	all	a-tʰɔm	a+tʰɔm	a + tʰ ɔ m	n + i n c	- a + tʰ ɔ m	56 71	_u/a-prefix ALL	
111	Rupa	all	a-tʰɔm	a+tʰɔm	a + tʰ ɔ m	n + i n c	- a + tʰ ɔ m	56 71	_u/a-prefix ALL	
112	Shergaon	all	a-tʰɔm	a+tʰɔm	a + tʰ ɔ m	n + i n c	- a + tʰ ɔ m	56 71	_u/a-prefix ALL	
#
113	Khispi	allative	-ta	+ta	t a	i n	t a -	74	_allative	
114	Duhumbi	allative	-ta	+ta	t a	i n	t a -	74	_allative	
116	Jerigaon	allative	-tɛn	+tɛn	t ɛ n	i n c	t ɛ n	74	_allative	
117	Khoitam	allative	-tan	+tan	t a n	i n c	t a n	74	_allative	
118	Rahung	allative	-tɛn	+tɛn	t ɛ n	i n c	t ɛ n	74	_allative	
119	Rupa	allative	-tɔː	+tɔː	t ɔː	i n	t ɔː -	74	_allative	
120	Shergaon	allative	-tɔː	+tɔː	t ɔː	i n	t ɔː -	74	_allative	
#
122	Duhumbi	amaranth	mɛs-kɔŋ	mɛs+kɔŋ	m ɛ s + k ɔ ŋ	i n c + i n c	m ɛ s + k ɔ ŋ	76 401	_ma-prefix4 AMARANTH	epenthetic /s/
124	Jerigaon	amaranth	mə-kuŋ	mə+kuŋ	m ə + k u ŋ	i n + i n c	m ə - + k u ŋ	76 401	_ma-prefix4 AMARANTH	
#
129	Khispi	angry (vi)	(ki) ʦʰik	ki_ʦʰik	k i + tsʰ i k	i n + i n c	k i + tsʰ i k	526 488	ANGRY3 ANGRY1	
130	Duhumbi	angry (vi)	(ki) ʦʰik	ki_ʦʰik	k i + tsʰ i k	i n + i n c	k i + tsʰ i k	526 488	ANGRY3 ANGRY1	
131	Khoina	angry (vi)	lyŋ ʐyk	lyŋ_ʐyk	l y ŋ + ʐ y k	i n c + i n c	l y ŋ + ʐ y k	78 77	STONE1 ANGRY2	
132	Jerigaon	angry (vi)	lyŋ zyk	lyŋ_zyk	l y ŋ + z y k	i n c + i n c	l y ŋ + z y k	78 77	STONE1 ANGRY2	
133	Khoitam	angry (vi)	liŋ zyk	liŋ_zyk	l i ŋ + z y k	i n c + i n c	l i ŋ + z y k	78 77	STONE1 ANGRY2	
134	Rahung	angry (vi)	liŋ zik	liŋ_zik	l i ŋ + z i k	i n c + i n c	l i ŋ + z i k	78 77	STONE1 ANGRY2	
135	Rupa	angry (vi)	zə-lik	zə+lik	z ə + l i k	i n + i n c	z ə - + l i k	77 78	ANGRY2 STONE1	
136	Shergaon	angry (vi)	zə-lik	zə+lik	z ə + l i k	i n + i n c	z ə - + l i k	77 78	ANGRY2 STONE1	
#
137	Khispi	ant	(kʰe-) ʨʰɔk	kʰe+ʨʰɔk	kʰ e + tɕʰ ɔ k	i n + i n c	kʰ e - + tɕʰ ɔ k	512 80	_soil-prefix3 ANT	
138	Duhumbi	ant	(kʰin-) ʨʰɔk	kʰin+ʨʰɔk	kʰ i n + tɕʰ ɔ k	i n c + i n c	kʰ i n + tɕʰ ɔ k	512 80	_soil-prefix3 ANT	epenthetic /n/
139	Khoina	ant	ʂan-dʐɔk	ʂan+dʐɔk	ʂ a n + ɖʐ ɔ k	i n c + i n c	ʂ a n + ɖʐ ɔ k	81 80	_sang-prefix ANT	
140	Jerigaon	ant	san-ʥɔk	san+ʥɔk	s a n + dʑ ɔ k	i n c + i n c	s a n + dʑ ɔ k	81 80	_sang-prefix ANT	
141	Khoitam	ant	saŋ-ʥɔk	saŋ+ʥɔk	s a ŋ + dʑ ɔ k	i n c + i n c	s a ŋ + dʑ ɔ k	81 80	_sang-prefix ANT	
142	Rahung	ant	saŋ-ʥɔk	saŋ+ʥɔk	s a ŋ + dʑ ɔ k	i n c + i n c	s a ŋ + dʑ ɔ k	81 80	_sang-prefix ANT	
143	Rupa	ant	san-ɟɔk ~ san-ʥɔk	san+ɟɔk	s a n + ʥ~ɟ/ʥ ɔ k	i n c + i n c	s a n + ʥ~ɟ/ʥ ɔ k	81 80	_sang-prefix ANT	
144	Shergaon	ant	san-ʥɔk	san+ʥɔk	s a n + dʑ ɔ k	i n c + i n c	s a n + dʑ ɔ k	81 80	_sang-prefix ANT	
#
145	Khispi	arrive	pʰɛt	pʰɛt	pʰ ɛ t	i n c	pʰ ɛ t	82	ARRIVE	
